wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (-75.55459999989005837 44.47077999989710406),Pope Mills-Rossie Deposits,Graphite,Crystalline Graphite,44.47078,-75.5546,United States of America,New York
Point (-73.97174999986253852 43.60388000016195065),Rowland Graphite Mine area,Graphite,Crystalline Graphite,43.60388,-73.97175,United States of America,New York
Point (-73.43310000006493965 43.59146000027885748),Silver Leaf Graphite Co.Mine,Graphite,Crystalline Graphite,43.59146,-73.4331,United States of America,New York
Point (-82.18140000040966697 35.89857000000552034),Dillinger Mine & Mill,Graphite,Crystalline Graphite,35.89857,-82.1814,United States of America,North Carolina
Point (-71.45829999974517932 41.76617000044524275),Cranston-Penners Ledge Mines,Graphite,Amorphous Graphite,41.76617,-71.4583,United States of America,Rhode Island
Point (-103.83530000029475104 44.12134999990263395),Copper Cliff Mine,Graphite,Crystalline Graphite,44.12135,-103.8353,United States of America,South Dakota
Point (-98.35782999985457309 30.78490999989662669),Burnet-Llano District,Graphite,Crystalline Graphite,30.78491,-98.35783,United States of America,Texas
Point (-105.23169999965523402 42.20817000024538856),Rabbit Creek Area,Graphite,Crystalline Graphite,42.20817,-105.2317,United States of America,Wyoming
Point (63.38333000037926013 40.81454999958287999),Taskazgan,Graphite,Crystalline Graphite,40.81455,63.38333,Uzbekistan,
Point (29.30133999974123071 -16.43042999984459129),Lynx Mine,Graphite,Crystalline Graphite,-16.43043,29.30134,Zimbabwe,
Point (-117.56814877274763376 37.77616497923048655),Clayton Valley,Lithium,Li Basin Brines,37.77616498,-117.5681488,United States of America,Nevada
Point (-117.3312313126749018 35.73621548995294006),Searles Lake,Lithium,Li Basin Brines,35.73621549,-117.3312313,United States of America,California
Point (-115.86916081561912506 33.36377656963304617),Salton Sea,Lithium,Li Basin Brines,33.36377657,-115.8691608,United States of America,California
Point (84.05186251604231984 31.42594176130330652),Zhabuye Lake,Lithium,Li Basin Brines,31.42594176,84.05186252,Tibet,
Point (93.93954909931153452 37.49795778692237036),Taijanier Lake,Lithium,Li Basin Brines,37.49795779,93.9395491,China,Qaidam
Point (35.42691847910458591 31.41646214161460193),Dead Sea,Lithium,Li Basin Brines,31.41646214,35.42691848,Israel,
Point (86.74799773800526737 31.58123257512329474),DXC,Lithium,Li Basin Brines,31.58123258,86.74799774,Tibet,
Point (-67.41002823681361633 -20.20127999517558237),Salar de Uyuni,Lithium,Li Basin Brines,-20.20128,-67.41002824,Bolivia,Altiplano
Point (-68.31466993916632191 -23.48123861836751303),Salar de Atacama,Lithium,Li Basin Brines,-23.48123862,-68.31466994,Chile,Altiplano
Point (-67.10806079417028513 -25.39060335486090025),Salar de Hombre Muerto,Lithium,Li Basin Brines,-25.39060335,-67.10806079,Argentina,Puna
Point (-67.1058243241332093 -24.10371424621541792),Salar del Rincon,Lithium,Li Basin Brines,-24.10371425,-67.10582432,Argentina,
Point (-66.74182928109638624 -23.47116961898268528),Salar de Cuachari and Salar de Olaroz,Lithium,Li Basin Brines,-23.47116962,-66.74182928,Argentina,
Point (-68.30127252100999158 -24.79710002074932618),Salar de Llullaillaco,Lithium,Li Basin Brines,-24.79710002,-68.30127252,Argentina,
Point (-68.09007578656826354 -19.22171769321693091),Salar de Copaisa,Lithium,Li Basin Brines,-19.22171769,-68.09007579,Bolivia,
Point (-67.78119982661064569 -21.65237616692650136),Salar de Pastos Grandes,Lithium,Li Basin Brines,-21.65237617,-67.78119983,Bolivia,
Point (-69.06936404171710819 -26.93604531963575255),Salar de Maricunga,Lithium,Li Basin Brines,-26.93604532,-69.06936404,Chile,
Point (-112.7050636439719824 41.25310526319736937),Great Salt Lake,Lithium,Li Basin Brines,41.25310526,-112.7050636,United States of America,Utah
Point (-69.00534517593905548 -18.83740384181379568),Salar de Surire,Lithium,Li Basin Brines,-18.83740384,-69.00534518,Chile,
Point (20.76916000043371469 64.2000000003997684),Orrvik,Lithium,Pegmatite,64.2,20.76916,Sweden,
Point (22.98249999967526946 63.5083300001294333),Haapaluoma,Lithium,Pegmatite,63.50833,22.9825,Finland,
Point (23.70610999977674282 63.42555000033229362),Ullava (Länttä),Lithium; Beryllium,Pegmatite,63.42555,23.70611,Finland,
Point (22.81554999983268317 62.77944000025587457),Seinajoki,Lithium,Pegmatite,62.77944,22.81555,Finland,
Point (-128.83299999985007389 62.19999999990011474),Little Nahanni,Lithium,Pegmatite,62.2,-128.833,Canada,NWT
Point (11.67888000011197391 58.16943999975626411),Borkenas-Orust,Lithium,Pegmatite,58.16944,11.67888,Sweden,
Point (61.31666999972077292 57.56667000002056511),Lipovy Log,Lithium,Pegmatite,57.56667,61.31667,Russia,Central Urals
Point (-6.53742300037112045 52.78530600027175979),Leinster,Lithium,Pegmatite,52.785306,-6.537423,Ireland,
Point (-93.37878500042739915 52.59832899958371399),Favourable Lake,Lithium,Pegmatite,52.598329,-93.378785,Canada,Ontario
Point (-75.84582999955478044 51.68325200037958211),Whabouchi,Lithium,Pegmatite,51.683252,-75.84583,Canada,Quebec
Point (114.83419899968419031 51.05717799976491733),Orlovka,Lithium,Pegmatite,51.057178,114.834199,Russia,Transbaikalia
Point (-91.70000000009986252 50.80000000019992967),Root,Lithium,Pegmatite,50.8,-91.7,Canada,Ontario
Point (109.87983299979316598 50.65150000042473266),Malkhan,Lithium,Pegmatite,50.6515,109.879833,Russia,Transbaikalia
Point (-95.31699999985005434 50.34399999960032801),Greer,Lithium,Pegmatite,50.344,-95.317,Canada,Manitoba
Point (-94.05999999970021008 50.25000000039977976),Big Whopper,Lithium,Pegmatite,50.25,-94.06,Canada,Ontario
Point (-92.53110999962672167 49.86332999987962467),Gullwing Lake,Lithium,Pegmatite,49.86333,-92.53111,Canada,
Point (-92.65632899958364987 49.82137699964886224),Mavis,Lithium,Pegmatite,49.821377,-92.656329,Canada,Ontario
Point (16.00276999963580238 49.42083000040423713),Oldrich,Lithium,Pegmatite,49.42083,16.00277,Czech Republic,
Point (-77.80816999994550542 48.41082999990464941),Lacorne,Lithium,Pegmatite,48.41083,-77.80817,Canada,Quebec
Point (88.81257899982102799 47.1899230004461856),Altai,Lithium,Pegmatite,47.189923,88.812579,China,NW
Point (14.93163200001686164 46.86739800011764601),Koralpe,Lithium,Pegmatite,46.867398,14.931632,Austria,
Point (8.70888999967377231 46.00416999974572718),Brissago,Lithium,Pegmatite,46.00417,8.70889,Italy,
Point (1.3861099997766928 45.9791600002338896),Chedeville,Lithium,Pegmatite,45.97916,1.38611,France,
Point (-88.35278000009691368 45.85055999994409603),Animikie,Lithium,Pegmatite,45.85056,-88.35278,United States of America,Wisconsin
Point (-65.99667000042012432 44.00916999959588338),Brazil Lake,Lithium,Pegmatite,44.00917,-65.99667,Canada,Nova Scotia
Point (-71.88959000027824686 43.75137999968728764),Palermo,Lithium; Beryllium,Be Type Rare-Metal Pegmatite,43.75138,-71.88959,United States of America,New Hampshire
Point (-72.29419999983008438 43.18107000038025944),Beryl Mountain,Lithium,Pegmatite,43.18107,-72.2942,United States of America,New Hampshire
Point (-107.4420799999919609 42.76804999970778454),Black Mountain,Lithium,Pegmatite,42.76805,-107.44208,United States of America,Wyoming
Point (10.20503399961944524 42.75120099972639309),Elba,Lithium,Pegmatite,42.751201,10.205034,Italy,
Point (-72.87258500009761519 42.41950500005577851),Clark,Lithium,Pegmatite,42.419505,-72.872585,United States of America,Massachusetts
Point (-7.78384700023883624 41.63470000000506843),Covas de Barroso,Lithium,Pegmatite,41.6347,-7.783847,Portugal,
Point (-72.59163799979381793 41.59223200030663747),Anderson,Lithium,Pegmatite,41.592232,-72.591638,United States of America,Connecticut
Point (-105.37333000007942019 40.54638999989862214),Crystal Mountain,Lithium; Beryllium,Pegmatite,40.54639,-105.37333,United States of America,Colorado
Point (-106.62555999969418963 38.54167000027035783),Quartz Cr,Lithium,Pegmatite,38.54167,-106.62556,United States of America,Colorado
Point (70.56000000009998985 37.20200000000005502),Talbuzanak,Lithium,Pegmatite,37.202,70.56,Afghanistan,
Point (71.6059999997002592 36.45499999955040948),Eshkashim,Lithium,Pegmatite,36.455,71.606,Afghanistan,
Point (71.00000000029984903 35.52800000000007685),Pachighram,Lithium,Pegmatite,35.528,71,Afghanistan,
Point (70.7720000000000482 35.43600000039975839),Kantiway,Lithium,Pegmatite,35.436,70.772,Afghanistan,
Point (69.33300000024985366 35.33299999985018758),Panjsher,Lithium,Pegmatite,35.333,69.333,Afghanistan,
Point (71.33299999985018758 35.2330000000500263),Marid,Lithium,Pegmatite,35.233,71.333,Afghanistan,
Point (-81.35431700042920511 35.22018299984563328),Kings Mountain,Lithium; Beryllium,Be Type Rare-Metal Pegmatite,35.220183,-81.354317,United States of America,North Carolina
Point (70.35399999990011111 35.20800000009995756),Nilaw-Kolum,Lithium,Pegmatite,35.208,70.354,Afghanistan,
Point (70.30599999960037394 35.06800000019990193),Kurghal,Lithium,Pegmatite,35.068,70.306,Afghanistan,
Point (70.8709999995504063 34.90900000005001402),Parun,Lithium,Pegmatite,34.909,70.871,Afghanistan,
Point (70.28000000029982175 34.87800000039976567),Alinghar,Lithium,Pegmatite,34.878,70.28,Afghanistan,
Point (70.78199999980023449 34.67200000019988693),Darra-i-Pech,Lithium,Pegmatite,34.672,70.782,Afghanistan,
Point (70.74999999990012611 34.61699999995011012),Darrahe-Nur,Lithium,Pegmatite,34.617,70.75,Afghanistan,
Point (69.90399999990012248 34.52500000034979166),Shahidan,Lithium,Pegmatite,34.525,69.904,Afghanistan,
Point (70.2559999997002933 34.43500000034975983),Surkh-Rod,Lithium,Pegmatite,34.435,70.256,Afghanistan,
Point (66.32499999975021865 33.70800000039974975),Taghawlor,Lithium,Pegmatite,33.708,66.325,Afghanistan,
Point (110.79999999990013748 33.70000000019990694),Guanpo,Lithium,Pegmatite,33.7,110.8,China,
Point (-116.79827199975295571 33.2117269997013409),San Diego,Lithium,Pegmatite,33.211727,-116.798272,United States of America,California
Point (-86.24804299988448975 32.88517900001090766),McAllister,Lithium,Pegmatite,32.885179,-86.248043,United States of America,Alabama
Point (118.09999999970034423 26.67000000039973884),Nanping,Lithium; Niobium and Tantalum,Li-Cs-Ta type pegmatite,26.67,118.1,China,
Point (111.79999999970027602 26.19999999990011474),Maoantan,Lithium,Pegmatite,26.2,111.8,China,
Point (-15.57055600035909038 20.79388800043091123),Khnefissat,Lithium,Pegmatite,20.793888,-15.570556,Mauritania,
Point (3.02500000034979166 8.31665999995908578),Igbeti,Lithium,Pegmatite,8.31666,3.025,Nigeria,
Point (-0.99999999970015097 5.99999999980019538),Kokobin,Lithium,Pegmatite,6,-1,Ghana,
Point (29.61693999998107074 -1.99194000013085315),Bijyojyo,Lithium,Pegmatite,-1.99194,29.61694,Rwanda,
Point (29.30804999980767889 -2.76083000010436308),Ruhembe,Lithium,Pegmatite,-2.76083,29.30805,Burundi,
Point (29.53000300003844814 -2.83406100021494467),Kivuvu,Lithium,Pegmatite,-2.834061,29.530003,Burundi,
Point (-36.72351300002486596 -6.91844100015197228),Mamoes,Lithium,Pegmatite,-6.918441,-36.723513,Brazil,Minas Gerais
Point (38.25373200043151201 -15.73738199987934649),Alto Ligonha,Lithium,Pegmatite,-15.737382,38.253732,Mozambique,
Point (-41.45999999960025661 -19.02304999965770094),Urucum Pegmatite,Lithium,Pegmatite,-19.02305,-41.46,Brazil,
Point (46.53330000029484381 -19.91667000042014024),Betafo,Lithium,Pegmatite,-19.91667,46.5333,Madagascar,
Point (118.9230600003188556 -20.66660000018981691),Tabba,Lithium,Pegmatite,-20.6666,118.92306,Australia,
Point (15.99389000022335949 -22.10305999971916435),Rubicon,Lithium,Pegmatite,-22.10306,15.99389,Namibia,
Point (30.89402099986932626 -24.11699900000382968),Union,Lithium,Pegmatite,-24.116999,30.894021,South Africa,
Point (117.26694000018096631 -27.70721999960323956),Niobe,Lithium,Pegmatite,-27.70722,117.26694,Australia,
Point (18.49569600027024308 -28.76907800024946482),Homestead,Lithium,Pegmatite,-28.769078,18.495696,Namibia,
Point (117.68332999977974396 -29.30722000000292837),Edon,Lithium,Pegmatite,-29.30722,117.68333,Australia,
Point (121.46665999955939697 -31.07805000020732678),Marion,Lithium,Pegmatite,-31.07805,121.46666,Australia,
Point (121.07528000037177662 -31.0972200002028103),Tantalite,Lithium,Pegmatite,-31.09722,121.07528,Australia,
Point (122.17944000025590867 -31.51555000023228104),Bald,Lithium,Pegmatite,-31.51555,122.17944,Australia,
Point (121.78500000024985184 -32.30693999998095478),Deans,Lithium,Pegmatite,-32.30694,121.785,Australia,
Point (-65.70693999978112743 -32.38610999967670523),Las Cuevas,Lithium,Pegmatite,-32.38611,-65.70694,Argentina,
Point (-65.98333000037916918 -32.98332999977964164),San Luis,Lithium,Pegmatite,-32.98333,-65.98333,Argentina,
Point (120.03972000017790833 -33.56388000006188577),Cattlin,Lithium,Pegmatite,-33.56388,120.03972,Australia,
Point (-4.03015312786453705 50.7144626978952715),Meldon,Lithium; Beryllium,Pegmatite,50.7144627,-4.030153128,England,
Point (12.78961500013218711 50.42182100003918777),Podlesi,Lithium,Pegmatite,50.421821,12.789615,Czech Republic,
Point (22.95000000009997621 -27.18333333346652125),Kalahari,Manganese,Marine sedimentary Mn,-27.18333333,22.95,South Africa,
Point (-98.73333333346653262 20.83333333376640439),Molango,Manganese,Marine sedimentary Mn,20.83333333,-98.73333333,Mexico,
Point (35.69999999980018401 47.25000000009998757),Bolshe Tokmak,Manganese,Marine sedimentary Mn,47.25,35.7,Ukraine,
Point (34.41666666663343221 47.56666666643354802),Nikopol,Manganese,Marine sedimentary Mn,47.56666667,34.41666667,Ukraine,
Point (136.49999999980025223 -13.9999999998000817),Groote Eylandt,Manganese,Marine sedimentary Mn,-14,136.5,Australia,
Point (17.66666666683323683 47.0833333334666122),Urkut,Manganese,Marine sedimentary Mn,47.08333333,17.66666667,Hungary,
Point (43.29999999990013748 42.3166666670331324),Tchiatura,Manganese,Marine sedimentary Mn,42.31666667,43.3,Georgia,
Point (-50.34999999999996589 -6.13333333326664842),Azul,Manganese,Secondary enrichment,-6.133333333,-50.35,Brazil,
Point (-57.54999999999995453 -19.13333333336657915),Urucum,Manganese,Marine sedimentary Mn,-19.13333333,-57.55,Brazil,
Point (80.29999999970027602 21.83333333356654293),Madhya Pradesh,Manganese,Marine sedimentary Mn,21.83333333,80.3,India,
Point (85.66666666673336294 21.63333333306690065),Orissa,Manganese,Secondary enrichment,21.63333333,85.66666667,India,Chatrapur
Point (27.91666666703309829 43.21666666703310966),Varna,Manganese,Marine sedimentary Mn,43.21666667,27.91666667,Bulgaria,
Point (-52.00000000029973535 0.99999999990012611),Serro do Navio,Manganese,Secondary enrichment,1,-52,Brazil,
Point (-1.94999999960026571 5.27999999980022494),Nsuta,Manganese,Secondary enrichment,5.28,-1.95,Ghana,
Point (-0.06666666673322652 14.78333333326673937),Tambao,Manganese,Secondary enrichment,14.78333333,-0.066666667,Burkina Fasso,
Point (75.51666666633366276 13.93333333316684275),Karnataka,Manganese,Marine sedimentary Mn,13.93333333,75.51666667,India,
Point (23.04999999990013748 -28.0499999996002316),Postmasburg,Manganese,Secondary enrichment,-28.05,23.05,South Africa,
Point (27.01666666703312103 -26.24999999960027708),Western Transval,Manganese,Secondary enrichment,-26.25,27.01666667,South Africa,
Point (73.91666666683323683 15.49999999970026465),Goa,Manganese,Secondary enrichment,15.5,73.91666667,India,
Point (-43.83333333346649852 -20.58333333316676317),Morro da Mina,Manganese,Secondary enrichment,-20.58333333,-43.83333333,Brazil,
Point (122.00000000000011369 39.58333333316682001),Wafangtzu,Manganese,Marine sedimentary Mn,39.58333333,122,China,
Point (72.50000000000005684 23.00000000000005684),Gujarat,Manganese,Marine sedimentary Mn,23,72.5,India,
Point (83.44999999970031013 18.36666666633362865),Andhra Pradesh Vizianagaram-Visakhapatnam Manganese Belt,Manganese,Secondary enrichment,18.36666667,83.45,India,
Point (-6.89999999960025434 30.73333333376638166),Imini,Manganese,Marine sedimentary Mn,30.73333333,-6.9,Morocco,
Point (-119.16666666703304145 52.31666666683327094),Blue River,Niobium and Tantalum,Carbonatite,52.31666667,-119.1666667,Canada,
Point (-95.44999999980012717 50.43333333306691202),Tanco,Niobium and Tantalum; Beryllium; Lithium,Be Type Rare-Metal Pegmatite; Li-Cs-Ta type pegmatite,50.43333333,-95.45,Canada,Manitoba
Point (-71.1499999998001158 48.53333333326679622),Niobec,Niobium and Tantalum,Carbonatite,48.53333333,-71.15,Canada,
Point (-72.81666666703301871 49.50000000009998757),Crevier,Niobium and Tantalum,Carbonatite,49.5,-72.81666667,Canada,
Point (-74.02222222207785762 45.50416666695815593),Oka,Niobium and Tantalum,Carbonatite,45.50416667,-74.02222222,Canada,
Point (-46.94999999960026571 -19.66666666623359561),Araxá,Niobium and Tantalum; Barite; Rare-Earth Elements,"Carbonatite; Vein, cavity-fill, metasomatic",-19.66666667,-46.95,Brazil,
Point (-44.58333333376629071 -21.08333333306683244),Volta Grande,Niobium and Tantalum; Beryllium; Lithium,Li-Cs-Ta type pegmatite,-21.08333333,-44.58333333,Brazil,
Point (-60.07861111111384389 0.78361111146369922),Pitinga,Niobium and Tantalum,Alkaline granite and syenite,0.783611111,-60.07861111,Brazil,
Point (-66.68027777819685298 0.2819444447803221),Morro dos Seis Lagos,Niobium and Tantalum,Carbonatite,0.281944445,-66.68027778,Brazil,
Point (-45.70582453777217324 61.01077059878417685),Ilimaussaq complex,Niobium and Tantalum; Rare-Earth Elements; Beryllium,Peralkaline intrusion Be,61.0107706,-45.70582454,Greenland,
Point (35.79999999960034529 27.91666666703309829),Ghurayyah,Niobium and Tantalum,Alkaline granite and syenite,27.91666667,35.8,Saudi Arabia,
Point (34.49893055540087516 25.2008583337451455),El Nuweiba,Niobium and Tantalum,Rare-metal granite,25.20085833,34.49893056,Egypt,
Point (34.49893055540087516 25.2008583337451455),Umm Naggat,Niobium and Tantalum,Rare-metal granite,25.20085833,34.49893056,Egypt,
Point (13.96722222232773447 -14.26805555581921681),Bonga,Niobium and Tantalum,Carbonatite,-14.26805556,13.96722222,Angola,
Point (39.0333333333666701 5.51666666683325957),Kenticha,Niobium and Tantalum; Lithium,Li-Cs-Ta type pegmatite,5.516666667,39.03333333,Ethiopia,
Point (33.63333333336669284 -12.01055555529461571),Kanyika,Niobium and Tantalum,Alkaline granite and syenite,-12.01055556,33.63333333,Malawi,
Point (37.90277777817198057 -16.51111111148856025),Marropino,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-16.51111111,37.90277778,Mozambique,
Point (37.86666666693321304 -16.26666666673321515),Morrua,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-16.26666667,37.86666667,Mozambique,
Point (38.2527777774724882 -15.7374999999250349),Muriane,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-15.7375,38.25277778,Mozambique,
Point (18.80000000029980356 -28.71666666703299597),Tantalite Valley,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-28.71666667,18.8,Namibia,
Point (14.86750000042474085 -21.21861111071416417),Three Aloes,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-21.21861111,14.8675,Namibia,
Point (27.06666666693320167 -24.2333333330668097),Palinesberg,Niobium and Tantalum,Alkaline granite and syenite,-24.23333333,27.06666667,South Africa,
Point (32.43333333306691202 -18.4999999998000817),Eagle,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-18.5,32.43333333,Zimbabwe,
Point (32.43333333306691202 -18.4999999998000817),Donsa,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-18.5,32.43333333,Zimbabwe,
Point (116.57111111118888402 71.05361111096408422),Tomtor,Niobium and Tantalum,Carbonatite,71.05361111,116.5711111,Russia,
Point (119.20000000019990694 56.30000000000006821),Katuginskoye,Niobium and Tantalum,Alkaline granite and syenite,56.3,119.2,Russia,
Point (134.72000000029981948 47.56000000019992058),Etykinskoye,Niobium and Tantalum,Rare-metal granite,47.56,134.72,Russia,
Point (97.74999999990012611 55.22000000000002728),Vishnyalovskoye,Niobium and Tantalum; Beryllium,Lithium-Cesium-Tantalum type pegmatite,55.22,97.75,Russia,
Point (132.233333333266728 44.16666666693316756),Voznesenovskoye,Niobium and Tantalum,Rare-metal granite,44.16666667,132.2333333,Russia,
Point (86.96083333309189811 49.43916666700812357),Alakhinskoye,Niobium and Tantalum,Rare-metal granite,49.43916667,86.96083333,Russia,
Point (91.96666666673331747 48.41666666653350148),Halzan-Buregtei,Niobium and Tantalum,Alkaline granite and syenite,48.41666667,91.96666667,Mongolia,
Point (114.51779444435817368 27.64947222266499693),Yichun,Niobium and Tantalum; Lithium,Rare-metal granite; Li-Cs-Ta type pegmatite,27.64947222,114.5177944,China,
Point (120.96666666633359455 44.61666666693321304),801,Niobium and Tantalum,Rare-metal granite,44.61666667,120.9666667,China,
Point (29.23333333316685412 67.76666666653346738),Sokli,Niobium and Tantalum,Carbonatite,67.76666667,29.23333333,Finland,
Point (2.93333333356656567 46.18333333346663494),Beauvoir-Echassieres,Niobium and Tantalum; Beryllium; Lithium,Rare-metal granite; Non-pegmatite; Li-Cs-Ta type pegmatite,46.18333333,2.933333334,France,
Point (-96.19000000029973307 40.27027777739755265),Elk Creek,Niobium and Tantalum; Rare-Earth Elements,Carbonatite,40.27027778,-96.19,United States of America,Nebraska
Point (-106.70861111091397788 38.23472222185313285),Iron Hill,Niobium and Tantalum; Titanium,Carbonatite; Alkalic/metasomatized,38.23472222,-106.7086111,United States of America,Colorado
Point (122.17944444470538201 -31.51555555534457653),Bald Hill,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-31.51555556,122.1794444,Australia,
Point (121.78500000024985184 -32.30694444443054181),Mount Deans,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-32.30694444,121.785,Australia,
Point (109.97444444445562794 41.79916666680827575),Bayan Obo,Niobium and Tantalum; Rare-Earth Elements,Carbonatite,41.79916667,109.9744444,China,Inner Mongolia
Point (37.91666666683323683 -15.0152777778471318),Mutala,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-15.01527778,37.91666667,Mozambique,
Point (-139.52099999975013134 61.46600000000006503),Wellgreen Intrusion,Platinum-Group Elements,Conduit,61.466,-139.521,Canada,
Point (-136.92499999965025381 58.5540000000999612),Nunatak-Brady Glacier,Platinum-Group Elements,Contact,58.554,-136.925,United States of America,Alaska
Point (-95.50699999965024745 50.48199999990015385),Bird River (Page Zone and Ore Fault Zone),Platinum-Group Elements,Contact,50.482,-95.507,Canada,
Point (-91.79999999990002379 47.73000000039974111),Duluth Complex,Platinum-Group Elements,Contact,47.73,-91.8,United States of America,Minnesota
Point (-89.62499999975017317 48.07900000034976529),Great Lakes Nickel,Platinum-Group Elements,Contact,48.079,-89.625,Canada,
Point (-89.61700000044965009 49.1669999996503293),Lac des Iles,Platinum-Group Elements,Atypical; pipe-like ore bodies,49.167,-89.617,Canada,
Point (-88.9009999996502529 48.75399999990014521),Thunder Bay North Project,Platinum-Group Elements,Contact,48.754,-88.901,Canada,
Point (-87.88900000044964145 46.7479999997002551),Eagle Nickel,Platinum-Group Elements,Conduit,46.748,-87.889,United States of America,Michigan
Point (-86.48500000044964509 48.81799999970030512),Geordie Lake,Platinum-Group Elements,Contact,48.818,-86.485,Canada,
Point (-86.31599999960025116 48.79299999975023638),Marathon,Platinum-Group Elements,Contact,48.793,-86.316,Canada,
Point (-86.30599999980012171 52.73700000024985002),Eagle's Nest,Platinum-Group Elements,Conduit,52.737,-86.306,Canada,
Point (-80.25900000004992307 46.69099999985019167),River Valley,Platinum-Group Elements,Contact,46.691,-80.259,Canada,
Point (-77.16599999990000924 61.44299999965033976),Ivakkak,Platinum-Group Elements,Komatiitic,61.443,-77.166,Canada,
Point (-73.75299999985008981 61.5140000002998022),Mequillon,Platinum-Group Elements,Komatiitic,61.514,-73.753,Canada,
Point (-73.44900000034971299 61.5570000002498432),Expo,Platinum-Group Elements,Komatiitic,61.557,-73.449,Canada,
Point (-73.25700000004991352 61.5750000002498723),Mesamax,Platinum-Group Elements,Komatiitic,61.575,-73.257,Canada,
Point (-66.12799999980012444 -33.11100000034969071),Las Aguilas,Platinum-Group Elements,Conduit,-33.111,-66.128,Argentina,
Point (-39.96200000039965516 -5.59799999990002561),Pedra Branca,Platinum-Group Elements,"Reef, chromitite",-5.598,-39.962,Brazil,
Point (-31.66499999975013679 68.18599999970030012),Skaergaard Intrusion,Platinum-Group Elements,"Reef, sulfide",68.186,-31.665,Greenland,
Point (12.33885800029651136 63.93837900009083342),Brattbakken,Platinum-Group Elements,Hydrothermal or remobilized (stockwork),63.938379,12.338858,Norway,
Point (13.47439600017531802 64.77631200039854775),Stormyrplutten,Platinum-Group Elements,Synvolcanic gabbroic body,64.776312,13.474396,Norway,
Point (24.47954099961748398 67.2902939998682541),Karhunjupukka,Platinum-Group Elements,"Reef, Ti-V layers",67.290294,24.479541,Finland,
Point (24.8629999995503681 -26.31400000029975672),Stella Intrusion,Platinum-Group Elements,"Reef, Ti-V layers",-26.314,24.863,South Africa,
Point (24.97698115035984756 65.81138664997399701),Paasivaara Reef (PV Reef),Platinum-Group Elements,"Reef, sulfide",65.81138665,24.97698115,Finland,
Point (25.00590052978566291 65.81866551979794622),Ala-Penikkavaara (AP Reef),Platinum-Group Elements,Reef,65.81866552,25.00590053,Finland,
Point (25.13873076021644692 65.94214558974721285),Sompujärvi (SJ Reef),Platinum-Group Elements,"Reef, sulfide",65.94214559,25.13873076,Finland,
Point (25.22129199992588156 70.03337800009467173),Karenhaugen,Platinum-Group Elements,Hydrothermal or remobilized,70.033378,25.221292,Norway,
Point (26.16593800023855465 66.13252199989045721),Portimo Igneous Complex,Platinum-Group Elements,Contact,66.132522,26.165938,Finland,
Point (26.91499999955038902 67.90499999965032885),Lomalampi,Platinum-Group Elements,Komatiitic,67.905,26.915,Finland,
Point (27.10493879958596608 67.79809037007458983),Koitelainen LC,Platinum-Group Elements,"Reef, chromitite",67.79809037,27.1049388,Finland,
Point (27.3163073396120808 67.82740639998542065),Koitelainen UC,Platinum-Group Elements,"Reef, chromitite",67.8274064,27.31630734,Finland,
Point (27.74099999995007693 -22.03300000014985471),Dikolati Nickel project,Platinum-Group Elements,Contact,-22.033,27.741,Botswana,
Point (27.77083299974322017 -21.21346400016341249),Selkirk,Platinum-Group Elements,Contact,-21.213464,27.770833,Botswana,
Point (27.95474200014325561 65.77665299973619994),Rusamo,Platinum-Group Elements,Contact,65.776653,27.954742,Finland,
Point (28.06152154008702837 65.85084498031164912),Haukiaho,Platinum-Group Elements,Contact,65.85084498,28.06152154,Finland,
Point (28.13907700040329019 65.7973659998410767),Lavotta,Platinum-Group Elements,Contact,65.797366,28.139077,Finland,
Point (28.18219999973024414 65.94190000018494402),Kaukua,Platinum-Group Elements,Contact,65.9419,28.1822,Finland,
Point (28.19686397988880344 67.17587465978778027),Akanvaara UC,Platinum-Group Elements,"Reef, chromitite",67.17587466,28.19686398,Finland,
Point (28.19784273995054491 67.19559692985450283),Akanvaara LC,Platinum-Group Elements,"Reef, chromitite",67.19559693,28.19784274,Finland,
Point (29.07882799981240396 65.14907199977301389),Hietaharju,Platinum-Group Elements,Komatiitic,65.149072,29.078828,Finland,
Point (29.11667200031263292 65.1968349999353336),Peura-aho,Platinum-Group Elements,Komatiitic,65.196835,29.116672,Finland,
Point (29.29064800040492855 65.27937899964115331),Vaara,Platinum-Group Elements,Komatiitic,65.279379,29.290648,Finland,
Point (30.03999999960035439 -19.74000000019981371),Great Dyke,Platinum-Group Elements; Tellurium,"Reef, sulfide; Tellurium in Magmatic Cu-Ni-PGM Sulfide",-19.74,30.04,Zimbabwe,
