wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (18.73027777799711657 -29.23249999957528189),Black Mountain,Gallium,Ga in Clastic-dominated Pb-Zn,-29.2325,18.73027778,South Africa,
Point (13.65166666658342365 46.62499999955036856),Bleiberg,Gallium,Ga in Mississippi Valley-type,46.625,13.65166667,Austria,
Point (13.87972200037006587 65.92333300011790698),Bleikvassli,Gallium,Ga in Clastic-dominated Pb-Zn,65.923333,13.879722,Norway,
Point (13.58205999996908986 46.72902999993459616),Bleiriese,Gallium,Ga in Mississippi Valley-type,46.72903,13.58206,Austria,
Point (-123.11666699998204422 41.94999999990011474),Blue Ledge,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",41.95,-123.116667,United States of America,California
Point (-115.51333299991796366 35.46777799995476244),Blue Moon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",35.467778,-115.513333,United States of America,California
Point (116.46700000005000675 -32.79999999999995453),Boddington,Gallium,Ga in Bauxite,-32.8,116.467,Australia,
Point (-14.21701111117380378 11.74918888885616752),Boé,Gallium,Ga in Bauxite,11.74918889,-14.21701111,Guinea-Bissau,
Point (38.97150277803081053 51.62647500002128709),Bokson,Gallium,Ga in Bauxite,51.626475,38.97150278,Russia,
Point (-147.37999999980013399 63.91999999970028057),Bonnifield,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",63.92,-147.38,United States of America,Alaska
Point (-123.14166699993205611 49.60999999970027829),Britannia,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.61,-123.141667,Canada,
Point (141.46666700038178988 -31.96666699958234403),Broken Hill,Gallium,Ga in Clastic-dominated Pb-Zn,-31.966667,141.466667,Australia,
Point (18.80194400001562371 -29.25722200019509955),Broken Hill,Gallium,Ga in Clastic-dominated Pb-Zn,-29.257222,18.801944,South Africa,
Point (-113.23027799992973996 34.54499999995010739),Bruce,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.545,-113.230278,United States of America,Arizona
Point (-155.86000000029974899 67.10972199957069506),BT,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",67.109722,-155.86,United States of America,Alaska
Point (-56.85830000014482266 48.82499999965034476),Buchans,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.825,-56.8583,Canada,
Point (-91.12999999980013399 37.58000000000004093),Buick,Gallium,Ga in Mississippi Valley-type,37.58,-91.13,United States of America,Missouri
Point (-122.20277799980482314 40.79916699975728989),Bully Hill-Rising Star,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.799167,-122.202778,United States of America,California
Point (23.59694444423075765 -28.47416666625861126),Bushy Park,Gallium,Ga in Mississippi Valley-type,-28.47416667,23.59694444,South Africa,
Point (-68.80749999962523589 44.34611100012261886),Callahan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.346111,-68.8075,United States of America,Maine
Point (140.91999999960034984 -21.86999999990001697),Cannington,Gallium,Ga in Clastic-dominated Pb-Zn,-21.87,140.92,Australia,
Point (126.12586944461918392 -14.03701666628609246),Cape Bougainville,Gallium,Ga in Bauxite,-14.03701667,126.1258694,Australia,
Point (-51.85556388846265463 -2.96312777742491562),Carajás,Gallium,Ga in Bauxite,-2.963127777,-51.85556389,Brazil,
Point (-66.29644000000592996 47.5613300003792574),Caribou,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.56133,-66.29644,Canada,
Point (-8.36999999990001697 52.51000000019990921),Carrickittle,Gallium,Ga in Mississippi Valley-type,52.51,-8.37,Ireland,
Point (-52.32712777762480982 4.92342500036352249),Carriére Sophie,Gallium,Ga in Bauxite,4.923425,-52.32712778,French Guyana,
Point (-68.79975219990404867 44.3878547002342998),Castine,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.3878547,-68.7997522,United States of America,Maine
Point (-8.08333300021774903 37.70000000029983767),Castro Verde,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",37.7,-8.083333,Portugal,
Point (-42.87575555517469184 -21.44748333288947606),Cataguases,Gallium,Ga in Bauxite,-21.44748333,-42.87575556,Brazil,
Point (31.88466666633365776 37.28606944414957525),Çatmakaya,Gallium,Ga in Bauxite,37.28606944,31.88466667,Turkey,
Point (99.86051944481658893 59.12580277777601623),Central,Gallium,Ga in Bauxite,59.12580278,99.86051944,Russia,
Point (-85.39320999994151862 36.72569700021642802),Central Kentucky-Tennessee,Gallium,Ga in Mississippi Valley-type,36.725697,-85.39321,United States of America,Kentucky
Point (-92.86027799962994322 38.59583299969324344),Central Missouri,Gallium; Barite,"Ga in Mississippi Valley-type; Vein, cavity-fill, metasomatic",38.595833,-92.860278,United States of America,Missouri
Point (138.63000000039971837 -18.75000000019980462),Century,Gallium,Ga in Clastic-dominated Pb-Zn,-18.75,138.63,Australia,
Point (3.6227777779721464 43.92416666705810258),Cevennes,Gallium,Ga in Mississippi Valley-type,43.92416667,3.622777778,France,
Point (105.69111111098902711 33.97944444470539338),Changba,Gallium,Ga in Clastic-dominated Pb-Zn,33.97944444,105.6911111,China,
Point (59.9852999999950498 60.34400000029984312),Cheremukhovo,Gallium,Ga in Bauxite,60.344,59.9853,Russia,
Point (-83.99969999985506774 34.29420000042972561),Chestatee,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.2942,-83.9997,United States of America,Georgia
Point (-66.23254999988256486 47.11663000017443892),Chester,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.11663,-66.23255,Canada,
Point (-125.15999999960024525 57.50972222200300621),Cirque,Gallium,Ga in Clastic-dominated Pb-Zn,57.50972222,-125.16,Canada,
Point (-28.25000000009987389 83.0799999999001102),Citronen Fjord,Gallium,Ga in Clastic-dominated Pb-Zn,83.08,-28.25,Greenland,
Point (-77.12307777781717277 18.35549444431319444),Claremont-Moneague,Gallium,Ga in Bauxite,18.35549444,-77.12307778,Jamaica,
Point (-77.15228055520344697 17.88581388929958393),Cockpit,Gallium,Ga in Bauxite,17.88581389,-77.15228056,Jamaica,
Point (-120.96666699978220549 38.50194400021547381),Copper Hill,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",38.501944,-120.966667,United States of America,California
Point (-9.07138999964871573 52.61394100007714769),Courtbrown,Gallium,Ga in Mississippi Valley-type,52.613941,-9.07139,Ireland,
Point (136.14972222240271549 -16.53861111071415735),Coxco,Gallium,Ga in Mississippi Valley-type,-16.53861111,136.1497222,Australia,
Point (-88.91944400034032014 45.47083300034273634),Crandon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",45.470833,-88.919444,United States of America,Wisconsin
Point (13.65166666658342365 46.62499999955036856),Crest,Gallium,Ga in Mississippi Valley-type,46.625,13.65166667,Austria,
Point (132.55735555551450489 -11.16700277785588469),Croker Island,Gallium,Ga in Bauxite,-11.16700278,132.5573556,Australia,
Point (113.7222222220779031 24.55416666655844438),Dabaoshan,Gallium; Indium; Germanium,"Ga, Ge, and In in Clastic-dominated Sedimentary exhalative Pb-Zn",24.55416667,113.7222222,China,
Point (109.1843340001140632 22.62477400021998619),Dajia,Gallium,Ga in Bauxite,22.624774,109.184334,China,
Point (-12.21960555585167185 11.68811111103900657),"Dalaba, Dabola",Gallium,Ga in Bauxite,11.68811111,-12.21960556,Guinea,
Point (116.16513900026473038 -32.57351400027084765),Darling Range,Gallium,Ga in Bauxite,-32.573514,116.165139,Australia,
Point (60.08795700001559226 56.71263199986697146),Degtyarskoe,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.712632,60.087957,Russia,
Point (115.99068888928093202 -32.54760277754610343),Del Park,Gallium,Ga in Bauxite,-32.54760278,115.9906889,Australia,
Point (105.36027777789718129 33.84583333294199292),Dengjiashan,Gallium,Ga in Clastic-dominated Pb-Zn,33.84583333,105.3602778,China,
Point (-78.94298000042664398 49.80000000039973429),Detour,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.8,-78.94298,Canada,
Point (-13.04264444488518393 10.73467500035104649),Diandian-Ouroubé,Gallium,Ga in Bauxite,10.734675,-13.04264444,Guinea,
Point (31.88629444463293794 37.27451666681076858),Dogankuzu,Gallium,Ga in Bauxite,37.27451667,31.88629444,Turkey,
Point (-158.68333299961821581 68.56666700038181261),Drenchwater,Gallium,Ga in Clastic-dominated Pb-Zn,68.566667,-158.683333,United States of America,Alaska
Point (-84.39472199972044564 35.008889000127283),Ducktown,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",35.008889,-84.394722,United States of America,Tennessee
Point (64.6617000003548128 26.23330000039476317),Duddar,Gallium,Ga in Clastic-dominated Pb-Zn,26.2333,64.6617,Pakistan,
Point (140.14999999970029876 -20.24999999990001243),Dugald River,Gallium,Ga in Clastic-dominated Pb-Zn,-20.25,140.15,Australia,
Point (-133.14000000019979097 62.23000000019987965),Dy,Gallium,Ga in Clastic-dominated Pb-Zn,62.23,-133.14,Canada,
Point (-122.51080000041963558 40.73295000024239698),Early Bird,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.73295,-122.5108,United States of America,California
Point (-156.18959900039351396 20.71337900014077604),East Maui,Gallium,Ga in Bauxite,20.713379,-156.189599,United States of America,Hawaii
Point (-79.20139999971019051 48.31809000035326562),East Sullivan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.31809,-79.2014,Canada,
Point (-83.6130555553695558 36.07666666673333111),Eastern Tennessee,Gallium,Ga in Mississippi Valley-type,36.07666667,-83.61305556,United States of America,Tennessee
Point (-96.19388888916085989 75.56944444450556375),Eclipse,Gallium,Ga in Mississippi Valley-type,75.56944444,-96.19388889,Canada,
Point (-123.66123333375134052 42.25874999991259529),Eight Dollar Mountain,Gallium,Ga in Bauxite,42.25875,-123.6612333,United States of America,Oregon
Point (75.39338055586802056 51.68155000013246081),Ekibastoz-Pavlodar,Gallium,Ga in Bauxite,51.68155,75.39338056,Kazakhstan,
Point (-85.93333333296692444 36.19527777744752939),Elmwood-Gordonsville district,Gallium; Germanium,Ga and Ge in Mississippi Valley-type,36.19527778,-85.93333333,United States of America,Tennessee
Point (145.65666666663344131 -31.16138888908591298),Elura,Gallium,Ga in Clastic-dominated Pb-Zn,-31.16138889,145.6566667,Australia,
Point (-68.77327000031021953 44.40994999969279888),Emerson,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.40995,-68.77327,United States of America,Maine
Point (-77.62668333336910109 17.98358333300444656),Essex Valley,Gallium,Ga in Bauxite,17.98358333,-77.62668333,Jamaica,
Point (-8.15820999979160888 37.85935000040223031),Estação,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",37.85935,-8.15821,Portugal,
Point (-85.28916666710796335 31.75166666638358492),Eufaula,Gallium,Ga in Mississippi Valley-type,31.75166667,-85.28916667,United States of America,Alabama
Point (113.62916700025687078 25.11000000010000122),Fankou,Gallium; Germanium,Ga in Mississippi Valley-type; Sedimentary-exhalative Pb-Zn,25.11,113.629167,China,
Point (-133.36694444463040554 62.35666666673336067),Faro,Gallium,Ga in Clastic-dominated Pb-Zn,62.35666667,-133.3669444,Canada,
Point (46.41416666675831948 41.71722222262752666),Filizchai,Gallium,Ga in Clastic-dominated Pb-Zn,41.71722222,46.41416667,Azerbaijan,
Point (-3.64769999985503546 40.2260299995848527),Filon Sur,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.22603,-3.6477,Spain,
Point (-91.13999999960026344 45.51399999990013612),Flambeau,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",45.514,-91.14,United States of America,Wisconsin
Point (-102.00000000019980462 54.75000000039977976),Flin Flon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",54.75,-102,Canada,
Point (10.08032777780476863 5.60409999991509267),Fongo-Tongo,Gallium,Ga in Bauxite,5.6041,10.08032778,Cameroon,
Point (-101.65234999955282547 56.63537000002554578),Fox,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.63537,-101.65235,Canada,
Point (-13.57332499984880769 10.40381944411211634),"Fria, Fria Kimbo",Gallium,Ga in Bauxite,10.40381944,-13.573325,Guinea,
Point (-75.40499999975014589 40.55444444415581984),Friedensville,Gallium,Ga in Mississippi Valley-type,40.55444444,-75.405,United States of America,Pennsylvania
